scenario_source,scenario,sector,technology,region,year,tmsr,smsp
weo_2021,steps,power,coalcap,european union,2021,1,0
weo_2021,steps,power,gascap,european union,2021,1,0
weo_2021,steps,power,hydrocap,european union,2021,1,0
weo_2021,steps,power,nuclearcap,european union,2021,1,0
weo_2021,steps,power,oilcap,european union,2021,1,0
weo_2021,steps,power,renewablescap,european union,2021,1,0
weo_2021,steps,power,coalcap,european union,2022,0.9269749000900374,-0.009275021542406198
weo_2021,steps,power,gascap,european union,2022,1.0126889848812095,0.002357376230224366
weo_2021,steps,power,hydrocap,european union,2022,1.0039219299053737,5.978707375377592e-4
weo_2021,steps,power,nuclearcap,european union,2022,0.98463687150838,-0.001655179055263912
weo_2021,steps,power,oilcap,european union,2022,0.9498698310831264,-0.0016611978881921553
weo_2021,steps,power,renewablescap,european union,2022,1.095546494777885,0.037634759161416065
weo_2021,steps,power,coalcap,european union,2023,0.8539498001800748,-0.01855004308481238
weo_2021,steps,power,gascap,european union,2023,1.025377969762419,0.004714752460448761
weo_2021,steps,power,hydrocap,european union,2023,1.007843859810747,0.0011957414750755184
weo_2021,steps,power,nuclearcap,european union,2023,0.9692737430167598,-0.0033103581105278384
weo_2021,steps,power,oilcap,european union,2023,0.8997396621662529,-0.0033223957763843072
weo_2021,steps,power,renewablescap,european union,2023,1.19109298955577,0.07526951832283213
weo_2021,steps,power,coalcap,european union,2024,0.7809247002701123,-0.02782506462721858
weo_2021,steps,power,gascap,european union,2024,1.0380669546436285,0.007072128690673127
weo_2021,steps,power,hydrocap,european union,2024,1.0117657897161207,0.0017936122126132777
weo_2021,steps,power,nuclearcap,european union,2024,0.9539106145251398,-0.004965537165791751
weo_2021,steps,power,oilcap,european union,2024,0.8496094932493794,-0.0049835936645764595
weo_2021,steps,power,renewablescap,european union,2024,1.2866394843336548,0.11290427748424814
weo_2021,steps,power,coalcap,european union,2025,0.70789960036014965,-0.03710008616962476
weo_2021,steps,power,gascap,european union,2025,1.050755939524838,0.009429504920897494
weo_2021,steps,power,hydrocap,european union,2025,1.0156877196214944,0.0023914829501510367
weo_2021,steps,power,nuclearcap,european union,2025,0.9385474860335196,-0.006620716221055677
weo_2021,steps,power,oilcap,european union,2025,0.7994793243325058,-0.0066447915527686145
weo_2021,steps,power,renewablescap,european union,2025,1.38218597911154,0.15053903664566426
weo_2021,steps,power,coalcap,european union,2026,0.6348745004501872,-0.04637510771203095
weo_2021,steps,power,gascap,european union,2026,1.0634449244060475,0.011786881151121859
weo_2021,steps,power,hydrocap,european union,2026,1.0196096495268678,0.0029893536876887676
weo_2021,steps,power,nuclearcap,european union,2026,0.9231843575418994,-0.008275895276319603
weo_2021,steps,power,oilcap,european union,2026,0.7493491554156324,-0.008305989440960766
weo_2021,steps,power,renewablescap,european union,2026,1.4777324738894249,0.18817379580708027
weo_2021,steps,power,coalcap,european union,2027,0.5618494005402246,-0.055650129254437145
weo_2021,steps,power,gascap,european union,2027,1.076133909287257,0.014144257381346226
weo_2021,steps,power,hydrocap,european union,2027,1.0235315794322415,0.0035872244252265267
weo_2021,steps,power,nuclearcap,european union,2027,0.9078212290502794,-0.009931074331583516
weo_2021,steps,power,oilcap,european union,2027,0.6992189864987588,-0.009967187329152919
weo_2021,steps,power,renewablescap,european union,2027,1.57327896866731,0.2258085549684964
weo_2021,steps,power,coalcap,european union,2028,0.48882430063026205,-0.06492515079684333
weo_2021,steps,power,gascap,european union,2028,1.0888228941684666,0.01650163361157062
weo_2021,steps,power,hydrocap,european union,2028,1.027453509337615,0.004185095162764286
weo_2021,steps,power,nuclearcap,european union,2028,0.8924581005586593,-0.011586253386847442
weo_2021,steps,power,oilcap,european union,2028,0.6490888175818854,-0.01162838521734507
weo_2021,steps,power,renewablescap,european union,2028,1.668825463445195,0.2634433141299124
weo_2021,steps,power,coalcap,european union,2029,0.4157992007202994,-0.07420017233924953
weo_2021,steps,power,gascap,european union,2029,1.101511879049676,0.018859009841794987
weo_2021,steps,power,hydrocap,european union,2029,1.0313754392429886,0.004782965900302046
weo_2021,steps,power,nuclearcap,european union,2029,0.8770949720670392,-0.013241432442111354
weo_2021,steps,power,oilcap,european union,2029,0.5989586486650118,-0.013289583105537225
weo_2021,steps,power,renewablescap,european union,2029,1.7643719582230797,0.3010780732913284
weo_2021,steps,power,coalcap,european union,2030,0.34277410081033677,-0.08347519388165572
weo_2021,steps,power,gascap,european union,2030,1.1142008639308856,0.021216386072019353
weo_2021,steps,power,hydrocap,european union,2030,1.0352973691483622,0.005380836637839804
weo_2021,steps,power,nuclearcap,european union,2030,0.8617318435754191,-0.01489661149737528
weo_2021,steps,power,oilcap,european union,2030,0.5488284797481382,-0.014950780993729377
weo_2021,steps,power,renewablescap,european union,2030,1.859918453000965,0.33871283245274453
weo_2021,steps,power,coalcap,european union,2031,0.3068223103290315,-0.0880414817965414
weo_2021,steps,power,gascap,european union,2031,1.120647948164147,0.022414133824737597
weo_2021,steps,power,hydrocap,european union,2031,1.0396272850506034,0.0060409019823026155
weo_2021,steps,power,nuclearcap,european union,2031,0.846536312849162,-0.01653373405385451
weo_2021,steps,power,oilcap,european union,2031,0.525882424169038,-0.01571116022032941
weo_2021,steps,power,renewablescap,european union,2031,1.9149079221814456,0.3603726058838103
weo_2021,steps,power,coalcap,european union,2032,0.27087051984772614,-0.09260776971142706
weo_2021,steps,power,gascap,european union,2032,1.1270950323974083,0.02361188157745587
weo_2021,steps,power,hydrocap,european union,2032,1.0439572009528448,0.006700967326765455
weo_2021,steps,power,nuclearcap,european union,2032,0.8313407821229051,-0.018170856610333724
weo_2021,steps,power,oilcap,european union,2032,0.5029363685899377,-0.016471539446929438
weo_2021,steps,power,renewablescap,european union,2032,1.969897391361926,0.3820323793148761
weo_2021,steps,power,coalcap,european union,2033,0.23491872936642078,-0.09717405762631275
weo_2021,steps,power,gascap,european union,2033,1.1335421166306696,0.024809629330174113
weo_2021,steps,power,hydrocap,european union,2033,1.048287116855086,0.0073610326712282665
weo_2021,steps,power,nuclearcap,european union,2033,0.8161452513966481,-0.019807979166812952
weo_2021,steps,power,oilcap,european union,2033,0.4799903130108374,-0.01723191867352947
weo_2021,steps,power,renewablescap,european union,2033,2.024886860542407,0.403692152745942
weo_2021,steps,power,coalcap,european union,2034,0.1989669388851153,-0.10174034554119843
weo_2021,steps,power,gascap,european union,2034,1.139989200863931,0.026007377082892386
weo_2021,steps,power,hydrocap,european union,2034,1.0526170327573274,0.008021098015691105
weo_2021,steps,power,nuclearcap,european union,2034,0.8009497206703912,-0.021445101723292163
weo_2021,steps,power,oilcap,european union,2034,0.45704425743173693,-0.017992297900129503
weo_2021,steps,power,renewablescap,european union,2034,2.0798763297228877,0.4253519261770078
weo_2021,steps,power,coalcap,european union,2035,0.16301514840381004,-0.1063066334560841
weo_2021,steps,power,gascap,european union,2035,1.1464362850971923,0.027205124835610626
weo_2021,steps,power,hydrocap,european union,2035,1.0569469486595686,0.008681163360153918
weo_2021,steps,power,nuclearcap,european union,2035,0.7857541899441342,-0.023082224279771392
weo_2021,steps,power,oilcap,european union,2035,0.4340982018526367,-0.018752677126729535
weo_2021,steps,power,renewablescap,european union,2035,2.1348657989033684,0.4470116996080736
weo_2021,steps,power,coalcap,european union,2036,0.1503151310281643,-0.1079196806808504
weo_2021,steps,power,gascap,european union,2036,1.1499244060475162,0.027853152514217
weo_2021,steps,power,hydrocap,european union,2036,1.0607109485016386,0.009254958765978746
weo_2021,steps,power,nuclearcap,european union,2036,0.7822346368715085,-0.023461410754250036
weo_2021,steps,power,oilcap,european union,2036,0.4089725737119331,-0.019585282348468357
weo_2021,steps,power,renewablescap,european union,2036,2.1555352381340454,0.4551531742823293
weo_2021,steps,power,coalcap,european union,2037,0.13761511365251855,-0.10953272790561669
weo_2021,steps,power,gascap,european union,2037,1.1534125269978401,0.02850118019282335
weo_2021,steps,power,hydrocap,european union,2037,1.0644749483437084,0.009828754171803573
weo_2021,steps,power,nuclearcap,european union,2037,0.7787150837988828,-0.02384059722872868
weo_2021,steps,power,oilcap,european union,2037,0.38384694557122967,-0.020417887570207176
weo_2021,steps,power,renewablescap,european union,2037,2.176204677364723,0.463294648956585
weo_2021,steps,power,coalcap,european union,2038,0.12491509627687303,-0.11114577513038297
weo_2021,steps,power,gascap,european union,2038,1.1569006479481643,0.029149207871429723
weo_2021,steps,power,hydrocap,european union,2038,1.0682389481857781,0.010402549577628374
weo_2021,steps,power,nuclearcap,european union,2038,0.775195530726257,-0.024219783703207324
weo_2021,steps,power,oilcap,european union,2038,0.35872131743052615,-0.021250492791945994
weo_2021,steps,power,renewablescap,european union,2038,2.1968741165954,0.47143612363084086
weo_2021,steps,power,coalcap,european union,2039,0.11221507890122728,-0.11275882235514927
weo_2021,steps,power,gascap,european union,2039,1.1603887688984882,0.029797235550036067
weo_2021,steps,power,hydrocap,european union,2039,1.0720029480278481,0.010976344983453203
weo_2021,steps,power,nuclearcap,european union,2039,0.7716759776536314,-0.024598970177685968
weo_2021,steps,power,oilcap,european union,2039,0.33359568928982264,-0.022083098013684816
weo_2021,steps,power,renewablescap,european union,2039,2.2175435558260768,0.4795775983050966
weo_2021,steps,power,coalcap,european union,2040,0.09951506152558165,-0.11437186957991557
weo_2021,steps,power,gascap,european union,2040,1.1638768898488123,0.030445263228642442
weo_2021,steps,power,hydrocap,european union,2040,1.0757669478699181,0.011550140389278032
weo_2021,steps,power,nuclearcap,european union,2040,0.7681564245810056,-0.024978156652164612
weo_2021,steps,power,oilcap,european union,2040,0.308470061149119,-0.022915703235423638
weo_2021,steps,power,renewablescap,european union,2040,2.238212995056754,0.48771907297935235
