scenario_source,region,scenario,sector,technology,year,smsp,tmsr
weo_2022,brazil,aps,power,nuclearcap,2025,0.0023170718347045884,1.218944099378882
weo_2022,brazil,aps,power,oilcap,2025,-7.559241446553929e-4,0.9810907097835024
weo_2022,brazil,aps,power,renewablescap,2025,0.17875962707742193,1.5758602435150872
weo_2022,brazil,aps,power,coalcap,2026,-0.005696819640881257,0.6999422965954991
weo_2022,brazil,aps,power,gascap,2026,-0.013168417708344747,0.821356914616928
weo_2022,brazil,aps,power,hydrocap,2026,0.005061405142475289,1.0092645510603098
weo_2022,brazil,aps,power,nuclearcap,2026,0.003089429112939451,1.2919254658385095
weo_2022,brazil,aps,power,oilcap,2026,-0.0010078988595405253,0.9747876130446699
weo_2022,brazil,aps,power,renewablescap,2026,0.23834616943656264,1.7678136580201165
weo_2022,brazil,aps,power,coalcap,2027,-0.007121024551101567,0.624927870744374
weo_2022,brazil,aps,power,gascap,2027,-0.016460522135430932,0.77669614327116
weo_2022,brazil,aps,power,hydrocap,2027,0.006326756428094146,1.0115806888253873
weo_2022,brazil,aps,power,nuclearcap,2027,0.0038617863911743116,1.3649068322981366
weo_2022,brazil,aps,power,oilcap,2027,-0.0012598735744256575,0.9684845163058373
weo_2022,brazil,aps,power,renewablescap,2027,0.29793271179570324,1.9597670725251457
weo_2022,brazil,aps,power,coalcap,2028,-0.008545229461321883,0.5499134448932487
weo_2022,brazil,aps,power,gascap,2028,-0.019752626562517125,0.7320353719253919
weo_2022,brazil,aps,power,hydrocap,2028,0.007592107713712934,1.0138968265904649
weo_2022,brazil,aps,power,nuclearcap,2028,0.004634143669409177,1.437888198757764
weo_2022,brazil,aps,power,oilcap,2028,-0.00151184828931079,0.9621814195670048
weo_2022,brazil,aps,power,renewablescap,2028,0.3575192541548438,2.1517204870301745
weo_2022,brazil,aps,power,coalcap,2029,-0.009969434371542194,0.4748990190421236
weo_2022,brazil,aps,power,gascap,2029,-0.0230447309896033,0.6873746005796241
weo_2022,brazil,aps,power,hydrocap,2029,0.008857458999331791,1.0162129643555424
weo_2022,brazil,aps,power,nuclearcap,2029,0.005406500947644037,1.5108695652173914
weo_2022,brazil,aps,power,oilcap,2029,-0.0017638230041959223,0.9558783228281722
weo_2022,brazil,aps,power,renewablescap,2029,0.4171057965139845,2.3436739015352037
weo_2022,brazil,aps,power,coalcap,2030,-0.011393639281762508,0.39988459319099834
weo_2022,brazil,aps,power,gascap,2030,-0.026336835416689495,0.6427138292338559
weo_2022,brazil,aps,power,hydrocap,2030,0.010122810284950578,1.0185291021206198
weo_2022,brazil,aps,power,nuclearcap,2030,0.0061788582258788995,1.5838509316770186
weo_2022,brazil,aps,power,oilcap,2030,-0.002015797719081055,0.9495752260893396
weo_2022,brazil,aps,power,renewablescap,2030,0.4766923388731252,2.535627316040233
weo_2022,central and south america,aps,power,coalcap,2022,0,1
weo_2022,central and south america,aps,power,gascap,2022,0,1
weo_2022,central and south america,aps,power,hydrocap,2022,0,1
weo_2022,central and south america,aps,power,nuclearcap,2022,0,1
weo_2022,central and south america,aps,power,oilcap,2022,0,1
weo_2022,central and south america,aps,power,renewablescap,2022,0,1
weo_2022,central and south america,aps,power,coalcap,2023,-0.0013036362416038057,0.9562959757680659
weo_2022,central and south america,aps,power,gascap,2023,-3.8721868562487154e-4,0.9977325291370007
weo_2022,central and south america,aps,power,hydrocap,2023,0.005614670941561001,1.0128105452874865
weo_2022,central and south america,aps,power,nuclearcap,2023,2.787974536499236e-4,1.0310077519379846
weo_2022,central and south america,aps,power,oilcap,2023,-0.0025014327091368153,0.977538247566064
weo_2022,central and south america,aps,power,renewablescap,2023,0.056544253932851146,1.2348576636465984
weo_2022,central and south america,aps,power,coalcap,2024,-0.0026072724832076157,0.9125919515361316
weo_2022,central and south america,aps,power,gascap,2024,-7.744373712497761e-4,0.9954650582740012
weo_2022,central and south america,aps,power,hydrocap,2024,0.011229341883121935,1.0256210905749727
weo_2022,central and south america,aps,power,nuclearcap,2024,5.575949072998472e-4,1.062015503875969
weo_2022,central and south america,aps,power,oilcap,2024,-0.005002865418273614,0.955076495132128
weo_2022,central and south america,aps,power,renewablescap,2024,0.11308850786570229,1.469715327293197
weo_2022,central and south america,aps,power,coalcap,2025,-0.0039109087248114256,0.8688879273041973
weo_2022,central and south america,aps,power,gascap,2025,-0.0011616560568746806,0.9931975874110017
weo_2022,central and south america,aps,power,hydrocap,2025,0.01684401282468287,1.038431635862459
weo_2022,central and south america,aps,power,nuclearcap,2025,8.363923609497708e-4,1.0930232558139537
weo_2022,central and south america,aps,power,oilcap,2025,-0.00750429812741043,0.932614742698192
weo_2022,central and south america,aps,power,renewablescap,2025,0.1696327617985534,1.7045729909397953
weo_2022,central and south america,aps,power,coalcap,2026,-0.0052145449664152315,0.8251839030722632
weo_2022,central and south america,aps,power,gascap,2026,-0.0015488747424995523,0.9909301165480024
weo_2022,central and south america,aps,power,hydrocap,2026,0.02245868376624387,1.0512421811499453
weo_2022,central and south america,aps,power,nuclearcap,2026,0.0011151898145996923,1.1240310077519378
weo_2022,central and south america,aps,power,oilcap,2026,-0.010005730836547246,0.910152990264256
weo_2022,central and south america,aps,power,renewablescap,2026,0.22617701573140458,1.9394306545863942
weo_2022,central and south america,aps,power,coalcap,2027,-0.006518181208019041,0.7814798788403289
weo_2022,central and south america,aps,power,gascap,2027,-0.0019360934281244567,0.9886626456850031
weo_2022,central and south america,aps,power,hydrocap,2027,0.028073354707804806,1.0640527264374315
weo_2022,central and south america,aps,power,nuclearcap,2027,0.001393987268249616,1.1550387596899223
weo_2022,central and south america,aps,power,oilcap,2027,-0.01250716354568406,0.8876912378303199
weo_2022,central and south america,aps,power,renewablescap,2027,0.2827212696642557,2.1742883182329926
weo_2022,central and south america,aps,power,coalcap,2028,-0.007821817449622851,0.7377758546083946
weo_2022,central and south america,aps,power,gascap,2028,-0.002323312113749361,0.9863951748220036
weo_2022,central and south america,aps,power,hydrocap,2028,0.03368802564936574,1.0768632717249178
weo_2022,central and south america,aps,power,nuclearcap,2028,0.0016727847218995396,1.1860465116279069
weo_2022,central and south america,aps,power,oilcap,2028,-0.015008596254820875,0.8652294853963838
weo_2022,central and south america,aps,power,renewablescap,2028,0.3392655235971068,2.4091459818795906
weo_2022,central and south america,aps,power,coalcap,2029,-0.009125453691226656,0.6940718303764605
weo_2022,central and south america,aps,power,gascap,2029,-0.0027105307993742327,0.9841277039590043
weo_2022,central and south america,aps,power,hydrocap,2029,0.039302696590926736,1.0896738170124043
weo_2022,central and south america,aps,power,nuclearcap,2029,0.001951582175549463,1.2170542635658914
weo_2022,central and south america,aps,power,oilcap,2029,-0.017510028963957674,0.8427677329624479
weo_2022,central and south america,aps,power,renewablescap,2029,0.395809777529958,2.6440036455261895
weo_2022,central and south america,aps,power,coalcap,2030,-0.010429089932830466,0.6503678061445262
weo_2022,central and south america,aps,power,gascap,2030,-0.0030977494849991375,0.9818602330960048
weo_2022,central and south america,aps,power,hydrocap,2030,0.04491736753248767,1.1024843622998906
weo_2022,central and south america,aps,power,nuclearcap,2030,0.002230379629199387,1.248062015503876
weo_2022,central and south america,aps,power,oilcap,2030,-0.02001146167309449,0.8203059805285119
weo_2022,central and south america,aps,power,renewablescap,2030,0.4523540314628091,2.878861309172788
weo_2022,china,aps,power,coalcap,2022,0,1
weo_2022,china,aps,power,gascap,2022,0,1
weo_2022,china,aps,power,hydrocap,2022,0,1
weo_2022,china,aps,power,nuclearcap,2022,0,1
weo_2022,china,aps,power,oilcap,2022,0,1
weo_2022,china,aps,power,renewablescap,2022,0,1
weo_2022,china,aps,power,coalcap,2023,0.005100668219315292,1.011280566175246
weo_2022,china,aps,power,gascap,2023,0.0010974468362971513,1.028047260914067
weo_2022,china,aps,power,hydrocap,2023,0.003090786409246228,1.0197999921915524
weo_2022,china,aps,power,nuclearcap,2023,0.002169209672855493,1.0937994126948272
